REPORTING.YEAR,FACILITY.NAME,FACILITY.CITY,FACILITY.COUNTY,FACILITY.STATE,FACILITY.ZIP.CODE,PRIMARY.NAICS.CODE,LATITUDE,LONGITUDE,PARENT.COMPANY.NAME,CHEMICAL.NAME,TOTAL.AIR.EMISSIONS,TOTAL.UNDERGROUND.INJECTION,TOTAL.ON.SITE.LAND.RELEASES,TOTAL.TRANSFERRED.OFF.SITE.TO.DISPOSAL,TOTAL.SURFACE.WATER.DISCHARGE,TRANSFERS.TO.POTWS..METALS.AND.METAL.COMPOUNDS.,Chemical,CERCLA.Chemicals,HAPs,Metals.and.Metal.Compounds,PBT.Chemicals,Priority.Chemicals,OSHA.Chemicals,Other.Health.Effects,Body.Weight,Cardiovascular,Dermal,Developmental,Endocrine,Gastrointestinal,Hematological,Hepatic,Immunological,Metabolic,Musculoskeletal,Neurological,Ocular,Other.Systemic,Renal,Reproductive,Respiratory,Human.health.effects.information.not.identified,Acute,Intermediate,Chronic
2014,KAWNEER CO INC,BLOOMSBURG,COLUMBIA,PA,178158318,332321,40.99685,-76.44275,ALCOA INC,CERTAIN GLYCOL ETHERS,12154,0,0,0,0,0,CERTAIN GLYCOL ETHERS,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2014,WATSON STANDARD CO HARWICK PLANT,HARWICK,ALLEGHENY,PA,15049,325510,40.554416,-79.809568,WATSON INDUSTRIES INC,MIXTURE,63581,0,0,0,0,0,MIXTURE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2008,SEADRIFT COKE LP,PORT LAVACA,CALHOUN,TX,77979,324199,28.51343,-96.794646,GRAFTECH INTERNATIONAL LTD,"1,3-BUTADIENE",1,NA,NA,0,0,0,1 3-BUTADIENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES
2007,SENERGY PETROLEUM LLC,TUCSON,PIMA,AZ,857142147,424710,32.17082,-110.90689,,CYCLOHEXANE,1,NA,NA,0,0,0,CYCLOHEXANE,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2004,THE CARLSTAR GROUP LLC,SPRINGFIELD,GREENE,MO,65807,326220,37.16399,-93.32885,AIP LLC,TOLUENE,18880,0,0,0,0,0,TOLUENE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
2014,WATTEREDGE LLC,AVON LAKE,LORAIN,OH,44012,334515,41.4899,-82.06034,SOUTHWIRE CO,COPPER,13158,0,0,120,0,0,COPPER,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
2007,GLOBAL COS LLC NORTH TERMINAL,NEW WINDSOR,ORANGE,NY,12553,424710,41.48522,-74.00862,GLOBAL PARTNERS LP,BENZENE,38568,0,0,0,0,0,BENZENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES
2004,NGK CERAMICS USA INC,MOORESVILLE,IREDELL,NC,28115,327999,35.6153,-80.81667,NGK N.A.,NITRATE COMPOUNDS,5482,0,0,38608,0,0,NITRATE COMPOUNDS,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2004,KENDRION(SHELBY) IN,SHELBY,CLEVELAND,NC,28150,336399,35.312369,-81.506564,,LEAD,5482,0,0,5,0,4,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2005,NORTHLAND PRODUCTS CO,WATERLOO,BLACK HAWK,IA,50701,324191,42.51098,-92.3833,,ETHYLENE GLYCOL,6480,0,0,0,0,0,ETHYLENE GLYCOL,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES
2013,FEDERAL CARTRIDGE CO-CCI,LEWISTON,NEZ PERCE,ID,83501,332992,46.396389,-117.035004,VISTA OUTDOOR,NITROGLYCERIN,42026,0,0,1118,0,0,NITROGLYCERIN,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2004,XIM PRODUCTS INC,WESTLAKE,CUYAHOGA,OH,44145,325510,41.47073,-81.94235,,TOLUENE,14783,0,0,0,0,0,TOLUENE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
2012,ARKALON ETHANOL LLC,LIBERAL,SEWARD,KS,67901,325193,37.107705,-100.796294,CONESTOGA ENERGY PARTNERS LLC,ACETALDEHYDE,59391,0,0,0,0,0,ACETALDEHYDE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES
2004,GERDAU AMERISTEEL US INC,ARLINGTON,SHELBY,TN,38002,332312,35.28531,-89.67925,GERDAU GROUP,NICKEL,22738,0,0,0,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2008,MULTEK FLEXIBLE CIRCUITS INC,NORTHFIELD,DAKOTA,MN,55057,334418,44.472534,-93.158762,FLEXTRONICS INTERNATIONAL USA,COPPER COMPOUNDS,5482,0,0,750,0,157,COPPER COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
2008,CTP,INDIANAPOLIS,MARION,IN,46227,332999,39.7116,-86.13944,TUBE PROCESSING CORP,CHROMIUM,5482,0,0,0,0.7,0,CHROMIUM,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2010,PPG INDUSTRIES INC-OAK CREEK,OAK CREEK,MILWAUKEE,WI,53154,325211,42.84868,-87.92959,PPG INDUSTRIES INC,ACRYLIC ACID,40441,0,0,0,0,0,ACRYLIC ACID,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES
2010,H-J ENTERPRISES INC,HIGH RIDGE,JEFFERSON,MO,63049,335931,38.45934,-90.53516,,LEAD,51554,0,0,6300,0,0,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2005,"MULTIMETCO, INC.",ANNISTON,CALHOUN,AL,36207,331492,33.62122,-85.805886,"NOVALIS, INC",LEAD COMPOUNDS,23973,0,0,0,0,0,LEAD COMPOUNDS,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2013,II-VI INC,SAXONBURG,BUTLER,PA,16056,333314,40.731667,-79.818333,,ZINC COMPOUNDS,51920,0,0,5110,0,132,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2006,MUBEA INC,FLORENCE,BOONE,KY,41042,332999,38.97561,-84.61768,,NICKEL,1,NA,NA,0,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2009,AMERICAN ELECTIC POWER ROCKPORT PLANT,ROCKPORT,SPENCER,IN,47635,221112,37.9256,-87.0372,AMERICAN ELECTRIC POWER,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),14269,0,104005,220,98,0,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2010,SCHREIBER FOODS INC,SHIPPENSBURG,CUMBERLAND,PA,172578700,311513,40.045914,-77.510233,SCHREIBER FOODS INC,NITRIC ACID,5482,0,0,0,0,0,NITRIC ACID,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
2003,SOUTHAMPTON POWER STATION,FRANKLIN,SOUTHAMPTON,VA,23851,221112,36.654813,-76.996151,DOMINION RESOURCES INC,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),57184,0,0,0,0,0,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES
2014,HGST INC,SAN JOSE,SANTA CLARA,CA,95119,334112,37.24737,-121.79465,,N-METHYL-2-PYRROLIDONE,34305,0,0,0,0,0,N-METHYL-2-PYRROLIDONE,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2013,HYTEK FINISHES CO,KENT,KING,WA,980321996,332813,47.40751,-122.23138,ESTERLINE TECHNOLOGIES,LEAD,5482,0,0,5895,0,1,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2005,COLEMAN CABLE LLC,LAFAYETTE,TIPPECANOE,IN,47903,331422,40.42593,-86.85668,SOUTHWIRE CO,COPPER,5482,0,0,0,0,2,COPPER,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
2014,BARRICK GOLD CORP-GOLDEN SUNLIGHT MINE,WHITEHALL,JEFFERSON,MT,59759,212221,45.902874,-112.011,BARRICK GOLD CORP,NITRATE COMPOUNDS,5482,0,63714,0,0,0,NITRATE COMPOUNDS,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2007,MONTOUR STEAM ELECTRIC STATION,DANVILLE,MONTOUR,PA,17821,221112,41.069974,-76.665133,PPL CORP,HYDROGEN FLUORIDE,48070,0,0,0,0,0,HYDROGEN FLUORIDE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES
2011,SENSMEIER OIL CO INC,MANSFIELD,RICHLAND,OH,449027318,424710,40.76843,-82.51514,,N-HEXANE,1,NA,NA,0,0,0,N-HEXANE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2004,COLUMBUS CELLULOSE FIBERS,COLUMBUS,LOWNDES,MS,39703,322121,33.360815,-88.458046,WEYERHAEUSER NR CO,"1,2,4-TRIMETHYLBENZENE",29628,0,5,0,250,0,1 2 4-TRIMETHYLBENZENE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2010,KOHLER CO,KOHLER,SHEBOYGAN,WI,530441500,332998,43.7375,-87.76388,KOHLER CO,ZINC COMPOUNDS,35994,0,0,186240,7,5,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2006,OXBOW CALCINING LLC,BATON ROUGE,EAST BATON ROUGE,LA,70807,324199,30.58348,-91.240545,OXBOW CARBON & MINERALS HOLDINGS INC.,VANADIUM COMPOUNDS,28987,0,0,0.5,0,0,VANADIUM COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2004,LAND O LAKES WOOD PRESERVING CO,TENSTRIKE,BELTRAMI,MN,56683,321114,47.660334,-94.677533,,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,NA,NA,0,0,0,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2005,CITRUS WORLD INC FLORIDA'S NATURAL GROWERS LAKE WALES DIV,LAKE WALES,POLK,FL,33853,311411,27.909614,-81.600433,CITRUS WORLD INC,NITRIC ACID,5482,0,0,0,0,0,NITRIC ACID,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
2013,CJB INDUSTRIES INC GH PLANT,VALDOSTA,LOWNDES,GA,31601,325320,30.80202,-83.28148,CJB INDUSTRIES INC,"ACIFLUORFEN, SODIUM SALT",55879,0,0,0,0,0,ACIFLUORFEN  SODIUM SALT,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES
2007,INTERPLASTIC CORP,HAWTHORNE,LOS ANGELES,CA,902503320,325211,33.92037,-118.31919,IP CORP,ETHYLENE GLYCOL,30440,0,0,250,0,0,ETHYLENE GLYCOL,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES
2013,R & B WAGNER INC,MILWAUKEE,MILWAUKEE,WI,53224,332323,43.17995,-88.04241,,MANGANESE,47594,0,0,0,0,0,MANGANESE,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2006,VEOLIA ES TECHNICAL SOLUTIONS LLC PORT ARTHUR FACILITY,PORT ARTHUR,JEFFERSON,TX,77640,562211,29.954834,-93.879684,VEOLIA ENVIRONMENTAL SERVICES,O-TOLUIDINE,6697,0,0,0,0,0,O-TOLUIDINE,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2011,CALHOUN PLASTICS & CHEMICALS,CALHOUN,GORDON,GA,30701,325991,34.5246,-84.8863,,ZINC COMPOUNDS,1,NA,NA,0,0,0,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2003,FMC CORP  MIDDLEPORT PLANT,MIDDLEPORT,NIAGARA,NY,14105,325320,43.207167,-78.468875,FMC CORP,BIFENTHRIN,17190,0,0,0,0,0,BIFENTHRIN,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2008,AMPAC FINE CHEMICALS LLC,RANCHO CORDOVA,SACRAMENTO,CA,95670,325412,38.60833,-121.2,FINE CHEMICALS HOLDINGS LLC,N-METHYL-2-PYRROLIDONE,5482,0,0,0,0,0,N-METHYL-2-PYRROLIDONE,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2004,DOW HALTERMANN PLANT 2,CHANNELVIEW,HARRIS,TX,77530,324199,29.754687,-95.123748,JOHANN HALTERMANN LTD,XYLENE (MIXED ISOMERS),47694,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2007,CLARIANT CORP-MOUNT HOLLY WEST PLANT,MOUNT HOLLY,GASTON,NC,28120,325199,35.295833,-81.006667,CLARIANT CORP,ETHYLENE OXIDE,51920,0,0,0,0,0,ETHYLENE OXIDE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES
2011,MATTHEWS INTERNATIONAL CORP,RICHMOND,WAYNE,IN,47374,339995,39.8231,-84.8232,MATTHEWS INTERNATIONAL CORP,NICKEL,1,NA,NA,0,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2011,US ARMY FORT BRAGG,FORT BRAGG,CUMBERLAND,NC,28310,928110,35.149722,-78.984444,US DEPARTMENT OF DEFENSE,COPPER,43256,0,0,0,0,0,COPPER,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
2009,HOMELAND ENERGY SOLUTIONS LLC,LAWLER,CHICKASAW,IA,52154,325193,43.0668,-92.1579,,N-HEXANE,42175,0,0,0,0,0,N-HEXANE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2012,DONSCO INC,MOUNT JOY,LANCASTER,PA,17552,331511,40.107006,-76.495893,,PHENOL,5482,0,0,370.04,0,0,PHENOL,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
2013,OWENS CORNING ROOFING & ASPHALT LLC,SUMMIT,COOK,IL,60501,324121,41.78471,-87.81723,OWENS CORNING,M-XYLENE,58622,0,0,38,0,0,M-XYLENE,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2003,BLUE ISLAND PHENOL LLC,ALSIP,COOK,IL,608032365,325110,41.65666,-87.70556,BLUE ISLAND PHENOL LLC,PROPYLENE,35201,0,0,0,0,0,PROPYLENE,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
2004,CHEMSTAR PRODUCTS CO,CARLTON,CARLTON,MN,55718,311221,46.661944,-92.425556,CHEMSTAR PRODUCTS CO,PROPYLENE OXIDE,46252,0,0,0,0,0,PROPYLENE OXIDE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES
2011,COTTAGE GROVE MINE,EQUALITY,GALLATIN,IL,62934,212111,37.762792,-88.360387,PEABODY ENERGY CORP,AMMONIA,5482,0,1751,0,0,0,AMMONIA,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES
2009,ETHYL CORP,PASADENA,HARRIS,TX,775032516,325199,29.734056,-95.17,ETHYL CORP,"1,2-DIBROMOETHANE",9301,0,0,0,0,0,1 2-DIBROMOETHANE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES
2014,HUBBELL POWER SYSTEMS - EAST ST/PLASTICS,CENTRALIA,BOONE,MO,65240,335932,39.213668,-92.12456,HUBBELL INC,DIISOCYANATES,5482,0,0,0,0,0,DIISOCYANATES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
2012,BURLINGTON ENVIRONMENTAL INC,KENT,KING,WA,98032,562211,47.41808,-122.23824,STERICYCLE,POLYCHLORINATED BIPHENYLS,5482,0,0,107,0,0,POLYCHLORINATED BIPHENYLS,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2008,EATON AEROSPACE,BELTSVILLE,PRINCE GEORGES,MD,20705,332912,39.0466,-76.89481,EATON CORP,NICKEL,5482,0,0,250,0,5,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2003,TYCO ELECTRONICS,NORWOOD,NORFOLK,MA,2062,334417,42.18914,-71.187944,TYCO ELECTRONICS,NICKEL,1,NA,NA,0,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2006,KITCHENMAN TERMINAL CO,FAIRLESS HILLS,BUCKS,PA,19030,424690,40.190368,-74.785241,GEORGE S COYNE CHEMICAL CO INC,CERTAIN GLYCOL ETHERS,1,NA,NA,0,0,0,CERTAIN GLYCOL ETHERS,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2008,JENSEN INTERNATIONAL - JENSEN DIV,COFFEYVILLE,MONTGOMERY,KS,67337,332999,37.02883,-95.62913,JENSEN INTERNATIONAL,CHROMIUM,1,NA,NA,0,0,0,CHROMIUM,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2005,COOPER POWER SYSTEMS LLC,WAUKESHA,WAUKESHA,WI,53188,335311,42.9935,-88.26879,EATON ELECTRIC HOLDINGS LLC,CHROMIUM,1,NA,NA,0,0,0,CHROMIUM,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2010,HOUSTON RETAIL SUPPORT CENTER,HOUSTON,HARRIS,TX,77080,311511,29.831944,-95.541111,HEB GROCERY CO LP,NITRIC ACID,57644,0,0,0,0,0,NITRIC ACID,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
2009,EASTERN PLATING LLC,NEWPORT,COCKE,TN,37821,332813,35.98656,-83.20216,,LEAD,5482,0,0,0,0,7,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2007,DAIRY FARMERS OF AMERICA INC,MECHANICSBURG,CUMBERLAND,PA,17055,311422,40.208611,-76.961111,DAIRY FARMERS OF AMERICA INC,NITRATE COMPOUNDS,5482,0,0,0,0,0,NITRATE COMPOUNDS,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2010,SRG GLOBAL PORTAGEVILLE,PORTAGEVILLE,NEW MADRID,MO,63873,332813,36.424,-89.702248,GUARDIAN INDUSTRIES CORP,NITRATE COMPOUNDS,5482,0,0,29193,239558,0,NITRATE COMPOUNDS,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2007,SHERWIN-WILLIAMS CO,MORROW,CLAYTON,GA,30260,325510,33.57132,-84.34265,THE SHERWIN-WILLIAMS CO,N-BUTYL ALCOHOL,12486,0,0,0,0,0,N-BUTYL ALCOHOL,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES
2010,EMERALD HILTON DAVIS LLC,CINCINNATI,HAMILTON,OH,45237,325132,39.181111,-84.450556,EMERALD PERFORMANCE MATERIALS LLC,PHTHALIC ANHYDRIDE,5482,0,0,497,0,0,PHTHALIC ANHYDRIDE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES
2003,NAZDAR CHICAGO,CHICAGO,COOK,IL,60622,325910,41.901242,-87.654375,THRALL ENTERPRISES,XYLENE (MIXED ISOMERS),46320,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2014,CHROMASOURCE INC,COLUMBIA CITY,WHITLEY,IN,46725,322220,41.1272,-85.3739,,ETHYLBENZENE,27112,0,0,0,0,0,ETHYLBENZENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES
2006,FUJIFILM ELECTRONIC MATERIALS USA INC,MESA,MARICOPA,AZ,852127988,325998,33.29636,-111.59456,FUJIFILM HOLDINGS AMERICA CORP,AMMONIA,37883,0,0,9,0,0,AMMONIA,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES
2003,AMERICAN ELECTRIC POWER MOUNTAINEER PLANT,NEW HAVEN,MASON,WV,25265,221112,38.977493,-81.937108,AMERICAN ELECTRIC POWER,MERCURY COMPOUNDS,36072,0,265.3,1.9,0,0,MERCURY COMPOUNDS,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES
2010,REMINGTON ARMS CO LLC,LONOKE,LONOKE,AR,72086,332992,34.799,-92.0002,REMINGTON OUTDOOR CO,LEAD COMPOUNDS,20590,0,0,127106,340,0,LEAD COMPOUNDS,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
